Thui Bhu, 		100, 90, 80, 100, 89, 99, 88
Ariana B. Smith,		 90, 90, 100, 100, 99, 100, 95
Emily Gonzales, 	100, 90, 100, 70, 78, 78, 80
Jennifer L, 					80, 90, 90, 100, 89, 99, 85
Maria Jones,		 65, 72, 77, 68, 62, 70, 65
Bill Gates, 		60, 54, 38, 62, 65, 60, 50
Escobar Morris, 	83, 77, 88, 76, 79, 72, 76
Anne Latner, 80, 80, 85, 95, 90, 95, 90
Thui Bhu1,		 1000, 900, 800, 12000, 890, 990, 880
Ariana B1. Smith, 						90, 90, 100, 100, 99, 100, 95
Emily Gonzales1,	 1000, 900, 100, 70, 78, 78, 80
Jennifer L1, 	80, 90, 90, 10000, 89, 99, 85
Maria 1 Jones, 		65, 72, 77, 68, 62, 70, 65
Bill Gates2, 				60, 54, 38, 62, 65, 60, 500
Escobar Morris1, 	83, 77, 88, 76, 79, 72, 760
Anne Latner2, 								0, 80, 850, 95, 90, 95, 90
Neha, 						90, 90, 100, 100, 99, 100, 95
Arnav Awasthi,	 1000, 900, 100, 70, 78, 78, 80
Priya Paliwal, 	80, 90, 90, 10000, 89, 99, 85
Neha Agarwal, 		65, 72, 77, 68, 62, 70, 65
Kriti, 				60, 54, 38, 62, 65, 60, 500
John, 	83, 77, 88, 76, 79, 72, 760
Arunima Tripathi, 								0, 80, 850, 95, 90, 95, 90
